Centroid,Epoch,Start Date,End Date,Source,Comment
-2783,2. Dynastie,-2880,-2686,Pharaoh.se,
-2502.5,4. Dynastie,-2613,-2392,Pharaoh.se,
-2434,Altes Reich,-2687,-2181,Pharaoh.se,
-2419.5,5. Dynastie,-2494,-2345,Pharaoh.se,
-2410,Kakai Neferirkare I.,-2415,-2405,AE Chronology,"AE Chronology dates seem to correlate best with Pharaoh.se dates for longer periods, not 100% clear the relationship. Full citation: Hornung et. al., 2006. Ancient Egyptian Chronology. 490-495."
-2388,Ini Niuserre,-2402,-2374,AE Chronology,
-2343.5,Asosi Djedkare,-2365,-2322,AE Chronology,
-2292,Teti,-2305,-2279,AE Chronology,
-2263,6. Dynastie,-2345,-2181,Pharaoh.se,
-2252,Pepi I. Merire,-2276,-2228,AE Chronology,
-2184.5,Pepi II. Neferkare,-2216,-2153,"AE Chronology, Pharaoh.se",
-2110.5,Erste Zwischenzeit,-2181,-2040,Pharaoh.se,
-2100,9. und 10. Dynastie (Herakleopolis),-2160,-2040,Pharaoh.se,
-2100,Nehri I. (Nomarch),-2160,-2040,Pharaoh.se,
-2100,Neferkare,-2160,-2040,Pharaoh.se,
-2100,Ahanacht (Nomarch),-2160,-2040,Pharaoh.se,
-2100,Iha (Nomarch),-2160,-2040,Pharaoh.se,
-2060.5,11. Dynastie (nach der Reichseinigung),-2130,-1991,Pharaoh.se,
-2060.5,11. Dynastie (vor der Reichseinigung),-2130,-1991,Pharaoh.se,Entire 11th Dynasty used due to ambiguity in source
-1984,Mentuhotep II. Nebhepetre (Gesamtzeitraum),-2009,-1959,AE Chronology,
-1943.5,Mentuhotep IV. Nebtawire,-1947,-1940,AE Chronology,
-1924.5,Amenemhet I. Sehetepibre,-1939,-1910,AE Chronology,
-1897.5,Sesostris I. Cheperkare,-1920,-1875,AE Chronology,
-1896.5,12. Dynastie,-1991,-1802,Pharaoh.se,
-1889.5,Mittleres Reich,-2130,-1649,Pharaoh.se,
-1860.5,Amenemhet II. Nubkaure,-1878,-1843,AE Chronology,
-1841,Sesostris II. Chacheperre,-1845,-1837,AE Chronology,
-1828,Sesostris III. Chakaure,-1837,-1819,AE Chronology,
-1795.5,Amenemhet III. Nimaatre,-1818,-1773,AE Chronology,
-1730,Chendjer Userkare,-1732,-1728,AE Chronology,
-1726,13. Dynastie,-1803,-1649,Pharaoh.se,
-1723.5,Sobekhotep III. Sechemresewadjtaui,-1725,-1722,AE Chronology,
-1625,15. Dynastie,-1650,-1600,Pharaoh.se,
-1615.5,16. Dynastie,-1649,-1582,Pharaoh.se,
-1565,17. Dynastie,-1580,-1550,Pharaoh.se,
-1504,Amenhotep I. Djeserkare,-1514,-1494,AE Chronology,
-1468.5,Hatschepsut Maatkare,-1479,-1458,AE Chronology,
-1452,Thutmosis III. Mencheperre (Gesamtzeitraum),-1479,-1425,AE Chronology,
-1452,Thutmosis III. Mencheperre (Alleinregierung),-1479,-1425,AE Chronology,
-1421,18. Dynastie,-1550,-1292,Pharaoh.se,
-1412.5,Amenhotep II. Aacheperure,-1425,-1400,AE Chronology,
-1395,Thutmosis IV. Mencheperure,-1400,-1390,AE Chronology,
-1371.5,Amenhotep III. Nebmaatre,-1390,-1353,AE Chronology,
-1344.5,Amenhotep IV. / Echnaton Nefercheperure,-1353,-1336,AE Chronology,
-1330,Tutanchamun Nebcheperure,-1336,-1324,AE Chronology,"Start of reign unknown, taken from end of Amenhotep IV"
-1321.5,Aja Chepercheperure,-1323,-1320,AE Chronology,
-1313.5,Neues Reich,-1550,-1077,Pharaoh.se,
-1291.5,Ramses I. Menpehtyre,-1292,-1291,AE Chronology,
-1284.5,Sethos I. Menmaatre,-1290,-1279,AE Chronology,
-1246,Ramses II. Usermaatre-Setepenre,-1279,-1213,AE Chronology,
-1240.5,19. Dynastie,-1292,-1189,Pharaoh.se,
-1208,Merenptah Baenre,-1213,-1203,AE Chronology,
-1200,Sethos II. Usercheperure,-1202,-1198,AE Chronology,
-1195,Siptah Achenre,-1197,-1193,AE Chronology,
-1191.5,Tausret Satre-Meritamun,-1192,-1191,AE Chronology,
-1189,Sethnacht Userchaure,-1190,-1188,AE Chronology,
-1172,Ramses III. Usermaatre-Meriamun,-1187,-1157,AE Chronology,
-1153,Ramses IV. Usermaatre-Setepenamun,-1156,-1150,AE Chronology,
-1147.5,Ramses V. Usermaatre-Secheperenre,-1149,-1146,AE Chronology,
-1142,Ramses VI. Nebmaatre-Meriamun,-1145,-1139,AE Chronology,
-1134.5,Ramses VII. Usermaatre-Meriamun-Setepenre,-1138,-1131,AE Chronology,
-1133,20. Dynastie,-1189,-1077,Pharaoh.se,
-1120,Ramses IX. Neferkare-Setepenre,-1129,-1111,AE Chronology,
-1091.5,Ramses XI. Menmaatre-Setepenptah,-1106,-1077,AE Chronology,
-1028.5,Psusennes I. Aacheperre-Setepenamun,-1051,-1006,AE Chronology,
-1006,21. Dynastie,-1069,-943,Pharaoh.se,
-1006,Herihor (HPA),-1069,-943,AE Chronology,"All HPA given as Dyn. 21 due to lack of certainty about dating and even sequence, see Jansen-Winkeln in AE Chronology"
-1006,Pinudjem I. (HPA),-1069,-943,AE Chronology,"All HPA given as Dyn. 21 due to lack of certainty about dating and even sequence, see Jansen-Winkeln in AE Chronology"
-1006,Mencheperre (HPA),-1069,-943,AE Chronology,"All HPA given as Dyn. 21 due to lack of certainty about dating and even sequence, see Jansen-Winkeln in AE Chronology"
-977,Siamun Netjerycheperre-Setepenamun,-986,-968,AE Chronology,
-955.5,Psusennes II. Titcheperure,-967,-944,AE Chronology,
-862.5,Dritte Zwischenzeit,-1069,-656,Pharaoh.se,
-835.5,22.–23. Dynastie,-943,-728,Pharaoh.se,
-637,Psammetich I. Wahibre,-664,-610,AE Chronology,
-594.5,26. Dynastie,-664,-525,Pharaoh.se,
-579.5,Apries Haaibre,-589,-570,AE Chronology,
-548,Amasis Chenemibre,-570,-526,AE Chronology,
-503.5,Dareios I. Setutre,-521,-486,AE Chronology,
-327.5,Alexander der Große,-332,-323,AE Chronology,
-320.5,Argeaden („Makedonierzeit“),-332,-309,Pharaoh.se,
-313.5,Alexander IV.,-317,-310,Pharaoh.se,
-265.5,Ptolemaios II. Philadelphos,-285,-246,Pharaoh.se,All sources cited by Pharaoh.se agree
-167.5,Ptolemäerzeit,-305,-30,Pharaoh.se,
-162.5,Ptolemaios VI. Philometor,-180,-145,Pharaoh.se,All sources cited by Pharaoh.se agree
-111.5,Ptolemaios IX. Soter II. (1. Regierungszeit in Ägypten),-116,-107,AE Chronology,
-45.5,Ptolemaios XIV.,-47,-44,AE Chronology,
-9.5,Griechisch-römische Zeit,-332,313,Pharaoh.se,
-6.5,Augustus,-27,14,Pharaoh.se,All sources cited by Pharaoh.se agree
47.5,Claudius,41,54,Pharaoh.se,All sources cited by Pharaoh.se agree
61,Nero,54,68,Pharaoh.se,All sources cited by Pharaoh.se agree
107.5,Trajan,98,117,Pharaoh.se,All sources cited by Pharaoh.se agree
127.5,Hadrian,117,138,Pharaoh.se,All sources cited by Pharaoh.se agree
149.5,Antoninus Pius,138,161,Pharaoh.se,All sources cited by Pharaoh.se agree
