"ht_id","gr_no","formclass_id","dating_from","dating_to"
"53","G0280.100","1084","Amenhotep III. Nebmaatre","Amenhotep III. Nebmaatre"
"1504","G0280.050","1083","Amenhotep I. Djeserkare","Amenhotep I. Djeserkare"
"1505","G0280.100","1084","Amenhotep I. Djeserkare","Amenhotep I. Djeserkare"
"2072","G0280.050","1083","17. Dynastie","17. Dynastie"
"2073","G0280.050","1083","17. Dynastie","17. Dynastie"
"2148","G0280.100","1084","17. Dynastie","17. Dynastie"
"2149","G0280.100","1084","17. Dynastie","17. Dynastie"
"2150","G0280.100","1084","17. Dynastie","17. Dynastie"
"2572","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"2573","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"2574","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"2626","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"2627","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"2722","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"2723","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"2758","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"2759","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"2760","G0280.100","1084","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"2799","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"2834","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"2835","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"2836","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"2837","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"2880","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"2881","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"2882","G0280.100","1084","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"2922","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"2923","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"2924","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"3033","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"3034","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"3074","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"3075","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"3076","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"3077","G0280.100","1084","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"3078","G0280.100","1084","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"3106","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"3116","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"3117","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"3118","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"3119","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"3120","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"3158","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"3159","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"3160","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"3198","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"3199","G0280.100","1084","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"3391","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"3392","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"3393","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"3451","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"3452","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"3453","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"3535","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"3536","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"3652","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"3653","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"3669","G0280.100","1084","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"3739","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"3740","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"3741","G0280.100","1084","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"3790","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"3791","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"3792","G0280.100","1084","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"3830","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"3831","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"3832","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"3833","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"3834","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"3892","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"3968","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"4018","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"4019","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"4065","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"4066","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"4067","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"4068","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"4101","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"4109","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"4127","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"4152","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"4194","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"4195","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"4238","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"4284","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"4328","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"4397","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"4398","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"4427","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"4428","G0280.100","1084","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"4448","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"4449","G0280.100","1084","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"4491","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"4492","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"4545","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"4577","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"4578","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"4579","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"4608","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"4609","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"4610","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"4611","G0280.100","1084","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"4639","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"4672","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"4673","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"4674","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"4715","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"4717","G0280.100","1084","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"4874","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"4875","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"4876","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"4877","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"4942","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"4949","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"4956","G0280.050","1083","Sesostris I. Cheperkare","Sesostris I. Cheperkare"
"5433","G0280.100","1084","Thutmosis III. Mencheperre (Alleinregierung)","Thutmosis III. Mencheperre (Alleinregierung)"
"5447","G0280.100","1084","Thutmosis III. Mencheperre (Alleinregierung)","Thutmosis III. Mencheperre (Alleinregierung)"
"5450","G0280.100","1084","Thutmosis III. Mencheperre (Alleinregierung)","Thutmosis III. Mencheperre (Alleinregierung)"
"5451","G0280.100","1084","Thutmosis III. Mencheperre (Alleinregierung)","Thutmosis III. Mencheperre (Alleinregierung)"
"5468","G0280.050","1083","Thutmosis III. Mencheperre (Gesamtzeitraum)","Thutmosis III. Mencheperre (Gesamtzeitraum)"
"5481","G0280.050","1083","Amenhotep IV. / Echnaton Nefercheperure","Amenhotep IV. / Echnaton Nefercheperure"
"5482","G0280.050","1083","Amenhotep III. Nebmaatre","Amenhotep IV. / Echnaton Nefercheperure"
"5483","G0280.100","1084","Amenhotep IV. / Echnaton Nefercheperure","Amenhotep IV. / Echnaton Nefercheperure"
"5484","G0280.100","1084","Amenhotep III. Nebmaatre","Amenhotep IV. / Echnaton Nefercheperure"
"5485","G0280.100","1084","Amenhotep III. Nebmaatre","Amenhotep IV. / Echnaton Nefercheperure"
"5521","G0280.050","1083","Amenhotep II. Aacheperure","Amenhotep II. Aacheperure"
"5522","G0280.050","1083","Amenhotep II. Aacheperure","Amenhotep II. Aacheperure"
"5523","G0280.100","1084","Amenhotep II. Aacheperure","Amenhotep II. Aacheperure"
"5524","G0280.100","1084","Amenhotep II. Aacheperure","Amenhotep II. Aacheperure"
"5525","G0280.100","1084","Amenhotep II. Aacheperure","Amenhotep II. Aacheperure"
"5526","G0280.100","1084","Amenhotep II. Aacheperure","Amenhotep II. Aacheperure"
"7085","G0280.100","1084","Sethos II. Usercheperure","Sethos II. Usercheperure"
"8005","G0280.100","1084","Merenptah Baenre","Merenptah Baenre"
"8006","G0280.100","1084","19. Dynastie","19. Dynastie"
"8007","G0280.100","1084","Sethos II. Usercheperure","Sethos II. Usercheperure"
"8008","G0280.100","1084","Sethos II. Usercheperure","Sethos II. Usercheperure"
"8009","G0280.100","1084","Sethos II. Usercheperure","Sethos II. Usercheperure"
"8010","G0280.100","1084","Sethos I. Menmaatre","Sethos I. Menmaatre"
"8776","G0280.100","1084","Amenhotep IV. / Echnaton Nefercheperure","Amenhotep IV. / Echnaton Nefercheperure"
"9026","G0280.150","1085","Ramses III. Usermaatre-Meriamun","Ramses III. Usermaatre-Meriamun"
"9087","G0280.150","1085","Ramses III. Usermaatre-Meriamun","Ramses III. Usermaatre-Meriamun"
"9118","G0280.150","1085","Ramses III. Usermaatre-Meriamun","Ramses III. Usermaatre-Meriamun"
"9119","G0280.150","1085","Ramses III. Usermaatre-Meriamun","Ramses III. Usermaatre-Meriamun"
"9121","G0280.150","1085","Ramses III. Usermaatre-Meriamun","Ramses III. Usermaatre-Meriamun"
"9159","G0280.150","1085","Ramses III. Usermaatre-Meriamun","Ramses III. Usermaatre-Meriamun"
"9160","G0280.150","1085","Ramses III. Usermaatre-Meriamun","Ramses III. Usermaatre-Meriamun"
"9161","G0280.150","1085","Ramses III. Usermaatre-Meriamun","Ramses III. Usermaatre-Meriamun"
"9291","G0280.050","1083","17. Dynastie","17. Dynastie"
"9292","G0280.100","1084","17. Dynastie","17. Dynastie"
"9293","G0280.100","1084","17. Dynastie","17. Dynastie"
"9294","G0280.100","1084","17. Dynastie","17. Dynastie"
"9324","G0280.050","1083","Chendjer Userkare","Sobekhotep III. Sechemresewadjtaui"
