ht_id,gr_no,formclass_id,dating_from,dating_to,start_date,end_date,centroid,formclass_description
37514,G0280.050,1083,4. Dynastie,4. Dynastie,-2613,-2392,-2502.5,
45807,G0280.050,1083,4. Dynastie,4. Dynastie,-2613,-2392,-2502.5,
45851,G0280.050,1083,4. Dynastie,4. Dynastie,-2613,-2392,-2502.5,
9630,G0280.050,1083,Kakai Neferirkare I.,Kakai Neferirkare I.,-2415,-2405,-2410,
9648,G0280.050,1083,Kakai Neferirkare I.,Kakai Neferirkare I.,-2415,-2405,-2410,
9649,G0280.050,1083,Kakai Neferirkare I.,Kakai Neferirkare I.,-2415,-2405,-2410,
44458,G0280.050,1083,Asosi Djedkare,Asosi Djedkare,-2365,-2322,-2343.5,
44487,G0280.050,1083,Asosi Djedkare,Asosi Djedkare,-2365,-2322,-2343.5,
44488,G0280.050,1083,Asosi Djedkare,Asosi Djedkare,-2365,-2322,-2343.5,
44540,G0280.050,1083,Asosi Djedkare,Asosi Djedkare,-2365,-2322,-2343.5,
37709,G0280.050,1083,Ini Niuserre,Pepi II. Neferkare,-2402,-2153,-2277.5,
37846,G0280.050,1083,Ini Niuserre,Pepi II. Neferkare,-2402,-2153,-2277.5,
37896,G0280.050,1083,Ini Niuserre,Pepi II. Neferkare,-2402,-2153,-2277.5,
39170,G0280.050,1083,Ini Niuserre,Pepi II. Neferkare,-2402,-2153,-2277.5,
39299,G0280.050,1083,Ini Niuserre,Pepi II. Neferkare,-2402,-2153,-2277.5,
39696,G0280.050,1083,Ini Niuserre,Pepi II. Neferkare,-2402,-2153,-2277.5,
39697,G0280.050,1083,Ini Niuserre,Pepi II. Neferkare,-2402,-2153,-2277.5,
39698,G0280.050,1083,Ini Niuserre,Pepi II. Neferkare,-2402,-2153,-2277.5,
39699,G0280.050,1083,Ini Niuserre,Pepi II. Neferkare,-2402,-2153,-2277.5,
39700,G0280.050,1083,Ini Niuserre,Pepi II. Neferkare,-2402,-2153,-2277.5,
39701,G0280.050,1083,Ini Niuserre,Pepi II. Neferkare,-2402,-2153,-2277.5,
39781,G0280.050,1083,Ini Niuserre,Pepi II. Neferkare,-2402,-2153,-2277.5,
41914,G0280.050,1083,Ini Niuserre,Pepi II. Neferkare,-2402,-2153,-2277.5,
41918,G0280.050,1083,Ini Niuserre,Pepi II. Neferkare,-2402,-2153,-2277.5,
42117,G0280.050,1083,Ini Niuserre,Pepi II. Neferkare,-2402,-2153,-2277.5,
42118,G0280.050,1083,Ini Niuserre,Pepi II. Neferkare,-2402,-2153,-2277.5,
42119,G0280.050,1083,Ini Niuserre,Pepi II. Neferkare,-2402,-2153,-2277.5,
38911,G0280.025,1228,Ini Niuserre,Pepi II. Neferkare,-2402,-2153,-2277.5,Blocky owl drawing
38916,G0280.025,1228,Ini Niuserre,Pepi II. Neferkare,-2402,-2153,-2277.5,
39288,G0280.075,1229,Ini Niuserre,Pepi II. Neferkare,-2402,-2153,-2277.5,
39289,G0280.075,1229,Ini Niuserre,Pepi II. Neferkare,-2402,-2153,-2277.5,
9599,G0280.050,1083,6. Dynastie,6. Dynastie,-2345,-2181,-2263,
9609,G0280.050,1083,6. Dynastie,6. Dynastie,-2345,-2181,-2263,
9613,G0280.050,1083,6. Dynastie,6. Dynastie,-2345,-2181,-2263,
9614,G0280.050,1083,6. Dynastie,6. Dynastie,-2345,-2181,-2263,
30722,G0280.050,1083,6. Dynastie,6. Dynastie,-2345,-2181,-2263,
30723,G0280.050,1083,6. Dynastie,6. Dynastie,-2345,-2181,-2263,
30724,G0280.050,1083,6. Dynastie,6. Dynastie,-2345,-2181,-2263,
30725,G0280.050,1083,6. Dynastie,6. Dynastie,-2345,-2181,-2263,
30726,G0280.050,1083,6. Dynastie,6. Dynastie,-2345,-2181,-2263,
30727,G0280.050,1083,6. Dynastie,6. Dynastie,-2345,-2181,-2263,
34702,G0280.050,1083,6. Dynastie,6. Dynastie,-2345,-2181,-2263,
34703,G0280.050,1083,6. Dynastie,6. Dynastie,-2345,-2181,-2263,
34704,G0280.050,1083,6. Dynastie,6. Dynastie,-2345,-2181,-2263,
34705,G0280.050,1083,6. Dynastie,6. Dynastie,-2345,-2181,-2263,
34706,G0280.050,1083,6. Dynastie,6. Dynastie,-2345,-2181,-2263,
38148,G0280.050,1083,6. Dynastie,6. Dynastie,-2345,-2181,-2263,
38159,G0280.050,1083,6. Dynastie,6. Dynastie,-2345,-2181,-2263,
38160,G0280.050,1083,6. Dynastie,6. Dynastie,-2345,-2181,-2263,
38161,G0280.050,1083,6. Dynastie,6. Dynastie,-2345,-2181,-2263,
38172,G0280.050,1083,6. Dynastie,6. Dynastie,-2345,-2181,-2263,
38173,G0280.050,1083,6. Dynastie,6. Dynastie,-2345,-2181,-2263,
38188,G0280.050,1083,6. Dynastie,6. Dynastie,-2345,-2181,-2263,
38235,G0280.050,1083,6. Dynastie,6. Dynastie,-2345,-2181,-2263,
39484,G0280.050,1083,6. Dynastie,6. Dynastie,-2345,-2181,-2263,
39485,G0280.050,1083,6. Dynastie,6. Dynastie,-2345,-2181,-2263,
39486,G0280.050,1083,6. Dynastie,6. Dynastie,-2345,-2181,-2263,
42186,G0280.050,1083,6. Dynastie,6. Dynastie,-2345,-2181,-2263,
44631,G0280.050,1083,6. Dynastie,6. Dynastie,-2345,-2181,-2263,
47700,G0280.050,1083,6. Dynastie,6. Dynastie,-2345,-2181,-2263,
47701,G0280.050,1083,6. Dynastie,6. Dynastie,-2345,-2181,-2263,
39199,G0280.075,1229,6. Dynastie,6. Dynastie,-2345,-2181,-2263,
39487,G0280.075,1229,6. Dynastie,6. Dynastie,-2345,-2181,-2263,
49705,G0280.075,1229,6. Dynastie,6. Dynastie,-2345,-2181,-2263,
9438,G0280.050,1083,Nehri I. (Nomarch),Nehri I. (Nomarch),-2160,-2040,-2100,
32424,G0280.050,1083,9. und 10. Dynastie (Herakleopolis),9. und 10. Dynastie (Herakleopolis),-2160,-2040,-2100,
32425,G0280.050,1083,9. und 10. Dynastie (Herakleopolis),9. und 10. Dynastie (Herakleopolis),-2160,-2040,-2100,
32426,G0280.050,1083,9. und 10. Dynastie (Herakleopolis),9. und 10. Dynastie (Herakleopolis),-2160,-2040,-2100,
32427,G0280.050,1083,9. und 10. Dynastie (Herakleopolis),9. und 10. Dynastie (Herakleopolis),-2160,-2040,-2100,
32428,G0280.050,1083,9. und 10. Dynastie (Herakleopolis),9. und 10. Dynastie (Herakleopolis),-2160,-2040,-2100,
32429,G0280.050,1083,9. und 10. Dynastie (Herakleopolis),9. und 10. Dynastie (Herakleopolis),-2160,-2040,-2100,
32430,G0280.050,1083,9. und 10. Dynastie (Herakleopolis),9. und 10. Dynastie (Herakleopolis),-2160,-2040,-2100,
32431,G0280.050,1083,9. und 10. Dynastie (Herakleopolis),9. und 10. Dynastie (Herakleopolis),-2160,-2040,-2100,
32432,G0280.050,1083,9. und 10. Dynastie (Herakleopolis),9. und 10. Dynastie (Herakleopolis),-2160,-2040,-2100,
44308,G0280.050,1083,9. und 10. Dynastie (Herakleopolis),11. Dynastie (vor der Reichseinigung),-2160,-1991,-2075.5,
44396,G0280.050,1083,9. und 10. Dynastie (Herakleopolis),11. Dynastie (vor der Reichseinigung),-2160,-1991,-2075.5,
47626,G0280.050,1083,9. und 10. Dynastie (Herakleopolis),11. Dynastie (vor der Reichseinigung),-2160,-1991,-2075.5,
17798,G0280.050,1083,Mentuhotep II. Nebhepetre (Gesamtzeitraum),Mentuhotep II. Nebhepetre (Gesamtzeitraum),-2009,-1959,-1984,
38211,G0280.050,1083,Mentuhotep II. Nebhepetre (Gesamtzeitraum),Mentuhotep II. Nebhepetre (Gesamtzeitraum),-2009,-1959,-1984,
40826,G0280.050,1083,Mentuhotep II. Nebhepetre (Gesamtzeitraum),Mentuhotep II. Nebhepetre (Gesamtzeitraum),-2009,-1959,-1984,
40827,G0280.050,1083,Mentuhotep II. Nebhepetre (Gesamtzeitraum),Mentuhotep II. Nebhepetre (Gesamtzeitraum),-2009,-1959,-1984,
40825,G0280.025,1228,Mentuhotep II. Nebhepetre (Gesamtzeitraum),Mentuhotep II. Nebhepetre (Gesamtzeitraum),-2009,-1959,-1984,
17293,G0280.050,1083,Mentuhotep II. Nebhepetre (Gesamtzeitraum),Mentuhotep IV. Nebtawire,-2009,-1940,-1974.5,
17297,G0280.050,1083,Mentuhotep II. Nebhepetre (Gesamtzeitraum),Mentuhotep IV. Nebtawire,-2009,-1940,-1974.5,
17301,G0280.050,1083,Mentuhotep II. Nebhepetre (Gesamtzeitraum),Mentuhotep IV. Nebtawire,-2009,-1940,-1974.5,
17313,G0280.050,1083,Mentuhotep II. Nebhepetre (Gesamtzeitraum),Mentuhotep IV. Nebtawire,-2009,-1940,-1974.5,
17374,G0280.050,1083,Mentuhotep II. Nebhepetre (Gesamtzeitraum),Mentuhotep IV. Nebtawire,-2009,-1940,-1974.5,
17375,G0280.050,1083,Mentuhotep II. Nebhepetre (Gesamtzeitraum),Mentuhotep IV. Nebtawire,-2009,-1940,-1974.5,
17376,G0280.050,1083,Mentuhotep II. Nebhepetre (Gesamtzeitraum),Mentuhotep IV. Nebtawire,-2009,-1940,-1974.5,
19186,G0280.050,1083,Mentuhotep II. Nebhepetre (Gesamtzeitraum),Mentuhotep IV. Nebtawire,-2009,-1940,-1974.5,
19291,G0280.050,1083,Mentuhotep II. Nebhepetre (Gesamtzeitraum),Mentuhotep IV. Nebtawire,-2009,-1940,-1974.5,
30013,G0280.050,1083,Mentuhotep II. Nebhepetre (Gesamtzeitraum),Mentuhotep IV. Nebtawire,-2009,-1940,-1974.5,
30014,G0280.050,1083,Mentuhotep II. Nebhepetre (Gesamtzeitraum),Mentuhotep IV. Nebtawire,-2009,-1940,-1974.5,
17315,G0280.025,1228,Mentuhotep II. Nebhepetre (Gesamtzeitraum),Mentuhotep IV. Nebtawire,-2009,-1940,-1974.5,
37729,G0280.050,1083,Mentuhotep II. Nebhepetre (Gesamtzeitraum),Amenemhet I. Sehetepibre,-2009,-1910,-1959.5,
26183,G0280.025,1228,Mentuhotep II. Nebhepetre (Gesamtzeitraum),Amenemhet I. Sehetepibre,-2009,-1910,-1959.5,
26184,G0280.025,1228,Mentuhotep II. Nebhepetre (Gesamtzeitraum),Amenemhet I. Sehetepibre,-2009,-1910,-1959.5,
26185,G0280.025,1228,Mentuhotep II. Nebhepetre (Gesamtzeitraum),Amenemhet I. Sehetepibre,-2009,-1910,-1959.5,
37553,G0280.025,1228,Mentuhotep II. Nebhepetre (Gesamtzeitraum),Amenemhet I. Sehetepibre,-2009,-1910,-1959.5,
37819,G0280.025,1228,Mentuhotep II. Nebhepetre (Gesamtzeitraum),Amenemhet I. Sehetepibre,-2009,-1910,-1959.5,
37820,G0280.025,1228,Mentuhotep II. Nebhepetre (Gesamtzeitraum),Amenemhet I. Sehetepibre,-2009,-1910,-1959.5,
23399,G0280.050,1083,Mentuhotep IV. Nebtawire,Amenemhet I. Sehetepibre,-1947,-1910,-1928.5,
23400,G0280.050,1083,Mentuhotep IV. Nebtawire,Amenemhet I. Sehetepibre,-1947,-1910,-1928.5,
23401,G0280.050,1083,Mentuhotep IV. Nebtawire,Amenemhet I. Sehetepibre,-1947,-1910,-1928.5,
2572,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
2573,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
2574,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
2626,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
2627,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
2722,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
2723,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
2758,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
2759,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
2799,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
2834,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
2835,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
2836,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
2837,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
2880,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
2881,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
2922,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
2923,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
2924,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3033,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3034,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3074,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3075,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3076,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3106,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3116,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3117,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3118,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3119,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3120,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3158,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3159,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3160,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3198,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3391,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3392,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3393,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3451,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3452,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3453,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3535,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3536,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3652,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3653,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3739,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3740,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3790,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3791,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3830,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3831,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3832,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3833,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3834,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3892,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
3968,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4018,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4019,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4065,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4066,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4067,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4068,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4101,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4109,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4127,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
4152,G0280.050,1083,Sesostris I. Cheperkare,Sesostris I. Cheperkare,-1920,-1875,-1897.5,
